Date,Open,High,Low,Close,Volume,Adj Close
6/2/2016,152.589996,153.5,152.119995,153.5,2642600,152.185628
6/1/2016,153,153.270004,151.539993,152.509995,2663400,151.2041
5/31/2016,152.559998,153.809998,152.270004,153.740005,5836600,152.423578
5/27/2016,152.350006,152.929993,152.149994,152.839996,2457100,151.531276
5/26/2016,151.550003,152.509995,151.050003,152.440002,3062900,151.134707
5/25/2016,148.929993,152.089996,148.5,151.690002,4355300,150.391129
5/24/2016,146.880005,148.75,146.880005,148.309998,2929300,147.040066
5/23/2016,147.610001,147.949997,146.660004,146.770004,2103800,145.513259
5/20/2016,145.710007,147.509995,145.550003,147.25,3671500,145.989145
5/19/2016,146.479996,146.929993,143.960007,144.929993,3685600,143.689003
5/18/2016,147.990005,148.520004,146.360001,147.339996,2491100,146.07837
5/17/2016,149.210007,149.5,147.289993,148,3490600,146.732723
5/16/2016,147.649994,149.990005,147.440002,149.460007,3069100,148.180228
5/13/2016,148.789993,149.860001,147.419998,147.720001,2398000,146.455122
